========================================================ARTISTAS========================================================

Artista                        | Popularidad  | # Canciones  | Canciones
[X] Kevin Florez                   | 0            | 1            | 2irs5LroVpUDR36Act6UsS
[X] Nicky Jam                      | 0            | 3            | 2irs5LroVpUDR36Act6UsS, 2VSK0CBTBzki1AOVJV83k8, 7geOCrsAm3LNJCrH81bR5a
[X] Becky G                        | 0            | 2            | 59L8x0xy8njj75vzVCPMqg, 7FlQk2gJ6TBrHHiidvdR2O
[X] El Alfa                        | 0            | 3            | 59L8x0xy8njj75vzVCPMqg, 5w9QfSM6iY9pPaxOj4ByT4, 1sviDBcAqVOxMXq4xITVEs
[X] KAROL G                        | 0            | 11           | 2FSGUA0gFgGeQdprjtGM2M, 7dSZ6zGTQx66c2GF91xCrb, 1ga4PztXOIw1yBbdUt2X8v, 7FlQk2gJ6TBrHHiidvdR2O, 6WbAhuwE6fCOriBu5786X1, 0bI7K9Becu2dtXK1Q3cZNB, 0dKg2vGC1hFqcK5LGTaKzX, 1WvrDdouh6C51In1SdATbq, 0DWdj2oZMBFSzRsi2Cvfzf, 4NoOME4Dhf4xgxbHDT7VGe, 2ksOAxtIxY8yElEWw8RhgK
[X] Mariah Angeliq                 | 0            | 1            | 2FSGUA0gFgGeQdprjtGM2M
[X] Maldy                          | 0            | 1            | 1ga4PztXOIw1yBbdUt2X8v
[X] Ovy On The Drums               | 0            | 1            | 6WbAhuwE6fCOriBu5786X1
[X] Tiësto                         | 0            | 1            | 0bI7K9Becu2dtXK1Q3cZNB
[X] Nicki Minaj                    | 0            | 1            | 0dKg2vGC1hFqcK5LGTaKzX
[X] Fonseca                        | 0            | 3            | 49QjsMw8972j5rfODZzWWq, 2BzPF9dX13wqEAo5a3XPR2, 1UGXsiNn0ACf2MXuHXuiJE
[X] Alejandro González             | 0            | 2            | 4bUrpXdPZIJMPUksA8ggDB, 6i4OlSxwAfC1IyZkK5Bq8j
[X] Ivy Queen                      | 0            | 1            | 7mY1dIaY9vY6Jrlrjg3dRn
[X] Shakira                        | 0            | 1            | 0DWdj2oZMBFSzRsi2Cvfzf
[X] Bizarrap                       | 0            | 1            | 2tTmW7RDtMQtBk7m2rYeSw
[X] Quevedo                        | 0            | 1            | 2tTmW7RDtMQtBk7m2rYeSw
