=================================ARTISTAS ORDENADOS POR POPULARIDAD=================================

Artista                        | Popularidad  | # Canciones  | Canciones
Fran C                         | 0            | 1            | 0kTMK4gNFfLXaTb62w1UaJ
Pailita                        | 0            | 1            | 0OTNHGKcqQbk51bOYe462Y
Ryan Castro                    | 0            | 1            | 2rDZhKnPaPG054ExZ6nXUS
Daddy Yankee                   | 0            | 9            | 48AJSd42lXpicsGqcgopof, 3XjN0mvFkQp1FMVM9Ro5hm, 7d7aPD2oxuzjhOZnu4Dj23, 6ksWMnPcHNyNoNf3y1BQCO, 2j2fIJGh4PMdXt9ULI5Tlc, 2ksOAxtIxY8yElEWw8RhgK, 6RyaV7owmVU6fzEPE17sF1, 7fGODUqa0gtkb72oBVCgCD, 26QKsGW4hMuwiEE1ftUMHe
Bellakath                      | 0            | 1            | 4ilZV1WNjL7IxwE81OnaRY
Anitta                         | 0            | 1            | 3FkeNbs9Zeiqkr3WkbOiGp
Alejo                          | 0            | 1            | 4srcMdbm2qzVG98tJajHxp
ROBI                           | 0            | 1            | 4srcMdbm2qzVG98tJajHxp
Arcángel                       | 0            | 1            | 2mnXxnrX5vCGolNkaFvVeM
Ozuna                          | 0            | 3            | 1zsPaEkglFvxjAhrM8yhpr, 7geOCrsAm3LNJCrH81bR5a, 2ksOAxtIxY8yElEWw8RhgK
Ñengo Flow                     | 0            | 1            | 54ELExv56KCAB4UP9cOCzC
Piso 21                        | 0            | 2            | 5fhcuVxuBWfgNXGuyAtLmr, 059bcIhyc2SBwm6sw2AZzd
Camilo                         | 0            | 3            | 7Dk8r4VR5NoveUvTiCKEXC, 42lpuSQmnLUM1ZXJVzIVOi, 0UQwlF2pRkr1lMN6kNNUj3
ROSALÍA                        | 0            | 1            | 2FYGZDfsAnNsrm1gVbyKnG
Christian Nodal                | 0            | 3            | 0UXlu64mDLvfzR8IXMz06J, 63bmZnBN1CiJ9sA4qTEe8y, 1qfoq1qvZT7VwDVeekCJ97
Los Hermanos Andrade           | 0            | 1            | 32evkZrcFEfIM9SyKm3obK
NATTI NATASHA                  | 0            | 1            | 7d7aPD2oxuzjhOZnu4Dj23
Wisin & Yandel                 | 0            | 3            | 7d7aPD2oxuzjhOZnu4Dj23, 15wPtgg6jsyMLhIkjcSpl4, 6ksWMnPcHNyNoNf3y1BQCO
El Gran Combo De Puerto Rico   | 0            | 3            | 1IcnHHfeAkdc88LybFWwb9, 4fHYtAHpAmsFDq7kTLzgh5, 6InAsgddPjAcuF7mSHDT8K
ChocQuibTown                   | 0            | 1            | 0HRMIu0FgBAkY0r8XGzExe
Peter Manjarres y Sergio Luis Rodriguez | 0            | 1            | 3xqT1gSFXBWbEbkx7IvK3t
J Balvin                       | 0            | 5            | 2VSK0CBTBzki1AOVJV83k8, 1sviDBcAqVOxMXq4xITVEs, 6cy3ki60hLwimwIje7tALf, 2ksOAxtIxY8yElEWw8RhgK, 4R8BJggjosTswLxtkw8V7P
Farruko                        | 0            | 1            | 40LW0IOX1DDxqvnTLpAKrq
Sean Paul                      | 0            | 3            | 40LW0IOX1DDxqvnTLpAKrq, 3MhdH8PxqH1FuQp3HBptUI, 2haxvmy6n8quJtJRuORGBh
Zion                           | 0            | 1            | 6ksWMnPcHNyNoNf3y1BQCO
Hector                         | 0            | 1            | 6ksWMnPcHNyNoNf3y1BQCO
Tonny Tun Tun                  | 0            | 1            | 6ksWMnPcHNyNoNf3y1BQCO
Otto Serge                     | 0            | 1            | 1S2WEX1RBJL1ebpEldMG4V
Rafael Ricardo                 | 0            | 1            | 1S2WEX1RBJL1ebpEldMG4V
Wolfine                        | 0            | 1            | 1Ft13La2daEGqz5yWJC7lx
Totó La Momposina              | 0            | 1            | 6gyKkveHSPxKnZfSu0kYbQ
Mauro Castillo                 | 0            | 2            | 1CTgLWnF5RVifJXxTDSiEJ, 3KOFm25dQCHhfMuEDNybKT
Zepekeño El Lominero           | 0            | 1            | 5w9QfSM6iY9pPaxOj4ByT4
El Pepo Show                   | 0            | 1            | 5w9QfSM6iY9pPaxOj4ByT4
Buxxi                          | 0            | 1            | 5g2cx0mZFmCNp4GexaifFl
Major Lazer                    | 0            | 1            | 1sviDBcAqVOxMXq4xITVEs
Diplo                          | 0            | 1            | 1sviDBcAqVOxMXq4xITVEs
Jorge Oñate                    | 0            | 1            | 1geLwtTJ0LTCwNA2cX8k9z
Álvaro López                   | 0            | 1            | 1geLwtTJ0LTCwNA2cX8k9z
Kaleth Morales                 | 0            | 3            | 6qvCE9WhoF57af6boMwaOz, 4tVCHHdULzG5acuwFmsRPw, 5GpzV7vCxkwdLloBSZg6Xg
Andres Herrera                 | 0            | 1            | 6qvCE9WhoF57af6boMwaOz
Black Eyed Peas                | 0            | 1            | 6cy3ki60hLwimwIje7tALf
Anuel AA                       | 0            | 2            | 2ksOAxtIxY8yElEWw8RhgK, 3f5lA8nnc4YYF1qf78WpHw
Tainy                          | 0            | 1            | 2TH65lNHgvLxCKXM3apjxI
Héctor "El Father"             | 0            | 1            | 0AEVupnoNEKPU81AOuPwjS
Andy Montañez                  | 0            | 1            | 07PF7Djp1Dmrin3X5fy8nA
Guayacán Orquesta              | 0            | 2            | 1QariEMkM75ewzEb128t2C, 17Sfr3T1chYPGcmM4VlhCh
Micro TDH                      | 0            | 1            | 059bcIhyc2SBwm6sw2AZzd
Mau y Ricky                    | 0            | 1            | 0UQwlF2pRkr1lMN6kNNUj3
Tego Calderón                  | 0            | 1            | 5YJ4BVvTFmVCxUyhKejHfR
Los Fabulosos Cadillacs        | 0            | 1            | 4lq31N4E4eWqVMZv93sbhJ
La Mosca                       | 0            | 1            | 19CmuECYssqkPWANF4nLWM
Vilma Palma e Vampiros         | 0            | 1            | 1x6bkwDyWIOZNFY5blRSs1
Dj Esli                        | 0            | 1            | 34inPy9EJX1LijFMKdpTs3
Darek Sotelo                   | 0            | 1            | 34inPy9EJX1LijFMKdpTs3
Yves Larock                    | 0            | 1            | 2YdX7PEziOImkySNDWsaKM
Juank Ricardo                  | 0            | 1            | 5GpzV7vCxkwdLloBSZg6Xg
Los Auténticos Decadentes      | 0            | 1            | 7aB1NvTLtOjrDrOc3CYMOi
Los Coquillos                  | 0            | 1            | 1fz6Ir8cLZLG9GIDj64PPn
Sasha                          | 0            | 1            | 3MhdH8PxqH1FuQp3HBptUI
Jeremy Harding                 | 0            | 1            | 3MhdH8PxqH1FuQp3HBptUI
Murray Elias                   | 0            | 1            | 3MhdH8PxqH1FuQp3HBptUI
Eddy Herrera                   | 0            | 1            | 0FcgB8l69nXBOmvhvEXm8o
Fruko Y Sus Tesos              | 0            | 1            | 1Fp4njyRHJYyMTKP899c0q
Wilson "Saoko" Manyoma         | 0            | 1            | 1Fp4njyRHJYyMTKP899c0q
The Latin Brothers             | 0            | 1            | 23jhtHHCIv6TrxLTCjqt2h
Los Del Rio                    | 0            | 1            | 6mhw2fEPH4fMF0wolNm96e
Grupo Arenas                   | 0            | 1            | 6yCM4N4v44c3xoMORrhLwW
Azul Azul                      | 0            | 1            | 0Tl84qfow6Dv0PM60zoBhb
Gaby                           | 0            | 1            | 5EovvTdzWLCqcoNZARVXJI
Angel Y Khriz                  | 0            | 2            | 74ZJp3SBtrpWY38FTSCMte, 5oQDYIpN3ieXNHwXAr8TXf
Zion & Lennox                  | 0            | 1            | 5gflgO9EPbIBf16n5TKnQS
Gocho "El Lápiz De Platino"    | 0            | 1            | 5oQDYIpN3ieXNHwXAr8TXf
John Eric                      | 0            | 1            | 5oQDYIpN3ieXNHwXAr8TXf
Rayo & Toby                    | 0            | 1            | 468L8HV8IykzwRs4eEXn4Y
Pitbull                        | 0            | 1            | 13plQdOoWSSXPRUSZc5FuM
